"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "PostCSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/presentation/shared/components/navbar/navbar.module.css", "PostCSS", 0, 0, 0, 0, 94, 0, 0, 0, 17, 111
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/presentation/shared/components/productCard/ProductCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/presentation/shared/components/productCard/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/presentation/shared/components/productCard/product.module.css", "PostCSS", 0, 0, 0, 0, 63, 0, 0, 0, 11, 74
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/presentation/shared/components/screen/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/presentation/shared/components/screen/screen.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/presentation/shared/components/screen/screen.module.css", "PostCSS", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/presentation/shared/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/presentation/web/admin/admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/presentation/web/admin/admin.module.css", "PostCSS", 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/presentation/web/admin/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/presentation/web/auth/auth.module.css", "PostCSS", 0, 0, 0, 0, 77, 0, 0, 0, 11, 88
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/presentation/web/auth/login/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/presentation/web/auth/login/login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 72, 0, 0, 11, 83
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/presentation/web/auth/register/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/presentation/web/auth/register/register.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 72, 0, 0, 11, 83
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/presentation/web/errors/forbidden/forbidden.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/presentation/web/errors/forbidden/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/presentation/web/home/home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 8, 51
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/presentation/web/home/home.module.css", "PostCSS", 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/presentation/web/home/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/routes/AppRoutes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 3, 26
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/routes/ProtectedRoutes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"/Users/waclaw/Projects/NetCoffee shop/frontend/src/setupProxy.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/waclaw/Projects/NetCoffee shop/package-lock.json", "JSON", 18610, 0, 0, 0, 0, 0, 0, 0, 1, 18611
"/Users/waclaw/Projects/NetCoffee shop/package.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"Total", "-", 18754, 426, 21, 38, 302, 387, 2, 68, 250, 20248
